rating_avg
"3.0,5"
"3.2,5"
"3.0,5"
"2.6,5"
"3.0,5"
"2.6,5"
"3.0,5"
"3.2,5"
"3.0,5"
"3.2,5"
"3.0,5"
"2.6,5"
"3.8,5"
"3.4,5"
"2.2,5"
"2.8,5"
"2.8,5"
"3.2,5"
"3.6,5"
"2.4,5"
"3.4,5"
"2.8,5"
"3.2,5"
"3.4,5"
"3.0,5"
"3.0,5"
"2.8,5"
"2.8,5"
"2.8,5"
"3.8,5"
"3.8,5"
"2.4,5"
"2.2,5"
"2.0,5"
"2.2,5"
"4.0,5"
"2.2,5"
"2.8,5"
"2.6,5"
"3.0,5"
"4.0,5"
"2.0,5"
"3.4,5"
"4.0,5"
"3.2,5"
"2.2,5"
"3.2,5"
"2.6,5"
"3.0,5"
"2.6,5"
"3.6,5"
"2.8,5"
"2.8,5"
"3.0,5"
"3.4,5"
"3.8,5"
"2.6,5"
"2.6,5"
"2.2,5"
"2.8,5"
"3.4,5"
"3.6,5"
"2.4,5"
"1.8,5"
"2.4,5"
"2.6,5"
"2.4,5"
"3.0,5"
"2.6,5"
"3.0,5"
"3.6,5"
"4.0,5"
"3.4,5"
"2.8,5"
"3.0,5"
"3.2,5"
"2.8,5"
"3.4,5"
"3.2,5"
"2.8,5"
"2.8,5"
"3.0,5"
"2.8,5"
"2.8,5"
"2.6,5"
"3.8,5"
"3.0,5"
"3.0,5"
"3.0,5"
"2.8,5"
"2.8,5"
"3.4,5"
"2.8,5"
"3.0,5"
"3.0,5"
"2.0,5"
"1.6,5"
"2.4,5"
"3.0,5"
"3.2,5"
"2.2,5"
"2.6,5"
"2.0,5"
"2.2,5"
"3.6,5"
"2.4,5"
"3.0,5"
"2.2,5"
"3.0,5"
"3.0,5"
"3.0,5"
"3.0,5"
"2.2,5"
"2.8,5"
"3.0,5"
"2.4,5"
"2.6,5"
"2.4,5"
"3.0,5"
"2.8,5"
"3.2,5"
"3.2,5"
"2.8,5"
"3.0,5"
"2.6,5"
"2.2,5"
"2.2,5"
"3.0,5"
"3.4,5"
"2.6,5"
"3.6,5"
"2.2,5"
"2.4,5"
"3.2,5"
"3.2,5"
"2.8,5"
"3.0,5"
"3.0,5"
"3.0,5"
"3.0,5"
"3.0,5"
"3.0,5"
"2.4,5"
"2.8,5"
"3.0,5"
"3.0,5"
"3.0,5"
"2.4,5"
"3.4,5"
"2.6,5"
"3.0,5"
"2.8,5"
"3.0,5"
"2.0,5"
"2.0,5"
"2.0,5"
"2.6,5"
"3.0,5"
"3.0,5"
"3.0,5"
"4.0,5"
"2.6,5"
"2.2,5"
"3.0,5"
"2.4,5"
"2.6,5"
"3.0,5"
"3.0,5"
"2.6,5"
"2.8,5"
"3.0,5"
"2.8,5"
"3.0,5"
"3.0,5"
"3.0,5"
"3.0,5"
"2.6,5"
"2.4,5"
"4.0,6"
"4.0,5"
"4.2,5"
"3.6,5"
"4.2,5"
"3.8,5"
"3.4,5"
"3.0,5"
"4.2,5"
"4.0,5"
"3.0,5"
"3.2,5"
"3.2,5"
"3.6,5"
"3.2,5"
"4.4,5"
"4.0,5"
"3.8,5"
"4.4,5"
"3.6,5"
"3.4,5"
"4.0,5"
"3.2,5"
"4.0,5"
"2.8,5"
"4.4,5"
"4.2,5"
"4.4,5"
"3.2,5"
"3.8,5"
"3.0,5"
"3.8,5"
"3.2,5"
"3.0,5"
"3.2,5"
"3.2,5"
"4.2,5"
"3.4,5"
"3.4,5"
"3.2,5"
"3.2,5"
"3.8,5"
"4.4,5"
"4.4,5"
"4.0,5"
"4.8,5"
